index,sensorId,force,timestamp,date,event
0,1,0.10009956359863281,1762720888597,2025-11-09T14:41:28.597000,0.0
1,2,0.11678264141082761,1762720888597,2025-11-09T14:41:28.597000,0.0
2,1,0.09513676166534424,1762720888717,2025-11-09T14:41:28.717000,0.0
3,2,0.11764309406280515,1762720888717,2025-11-09T14:41:28.717000,0.0
4,1,0.09547984600067139,1762720888836,2025-11-09T14:41:28.836000,0.0
5,2,0.11908719539642332,1762720888836,2025-11-09T14:41:28.836000,0.0
6,1,0.09446132183074951,1762720888971,2025-11-09T14:41:28.971000,0.0
7,2,0.11841431856155393,1762720888971,2025-11-09T14:41:28.971000,0.0
8,1,0.09829068183898926,1762720889076,2025-11-09T14:41:29.076000,0.0
9,2,0.11932442188262937,1762720889076,2025-11-09T14:41:29.076000,0.0
10,1,0.09985196590423584,1762720889197,2025-11-09T14:41:29.197000,0.0
11,2,0.11885581016540525,1762720889197,2025-11-09T14:41:29.197000,0.0
12,1,0.09977424144744873,1762720889317,2025-11-09T14:41:29.317000,0.0
13,2,0.11863765716552732,1762720889317,2025-11-09T14:41:29.317000,0.0
14,1,0.10111534595489502,1762720889437,2025-11-09T14:41:29.437000,0.0
15,2,0.11927644014358518,1762720889437,2025-11-09T14:41:29.437000,0.0
16,1,0.09993207454681396,1762720889556,2025-11-09T14:41:29.556000,0.0
17,2,0.11901024580001829,1762720889556,2025-11-09T14:41:29.556000,0.0
18,1,0.1004641056060791,1762720889677,2025-11-09T14:41:29.677000,0.0
19,2,0.11908785104751585,1762720889677,2025-11-09T14:41:29.677000,0.0
20,1,0.1042243242263794,1762720889797,2025-11-09T14:41:29.797000,0.0
21,2,0.11946139335632322,1762720889797,2025-11-09T14:41:29.797000,0.0
22,1,0.10360026359558105,1762720889917,2025-11-09T14:41:29.917000,0.0
23,2,0.11954263448715208,1762720889917,2025-11-09T14:41:29.917000,0.0
24,1,0.10458898544311523,1762720890037,2025-11-09T14:41:30.037000,0.0
25,2,0.11970475912094114,1762720890037,2025-11-09T14:41:30.037000,0.0
26,1,0.10146665573120117,1762720890185,2025-11-09T14:41:30.185000,0.0
27,2,0.11833087205886839,1762720890185,2025-11-09T14:41:30.185000,0.0
28,1,0.10335052013397217,1762720890277,2025-11-09T14:41:30.277000,0.0
29,2,0.11981049776077268,1762720890277,2025-11-09T14:41:30.277000,0.0
30,1,0.10313713550567627,1762720890397,2025-11-09T14:41:30.397000,0.0
31,2,0.119619345664978,1762720890397,2025-11-09T14:41:30.397000,0.0
32,1,0.10158896446228027,1762720890517,2025-11-09T14:41:30.517000,0.0
33,2,0.1189138054847717,1762720890517,2025-11-09T14:41:30.517000,0.0
34,1,0.09964680671691895,1762720890696,2025-11-09T14:41:30.696000,0.0
35,2,0.12047765254974363,1762720890696,2025-11-09T14:41:30.696000,0.0
36,1,0.0982285737991333,1762720890817,2025-11-09T14:41:30.817000,0.0
37,2,0.12015471458435056,1762720890817,2025-11-09T14:41:30.817000,0.0
38,1,0.09962451457977295,1762720890936,2025-11-09T14:41:30.936000,0.0
39,2,0.12086317539215086,1762720890936,2025-11-09T14:41:30.936000,0.0
40,1,0.09778761863708496,1762720891057,2025-11-09T14:41:31.057000,0.0
41,2,0.12092444896697996,1762720891057,2025-11-09T14:41:31.057000,0.0
42,1,0.10031437873840332,1762720891176,2025-11-09T14:41:31.176000,0.0
43,2,0.12176314592361448,1762720891176,2025-11-09T14:41:31.176000,0.0
44,1,0.09711563587188721,1762720891356,2025-11-09T14:41:31.356000,0.0
45,2,0.12061241865158079,1762720891356,2025-11-09T14:41:31.356000,0.0
46,1,0.10136735439300537,1762720891477,2025-11-09T14:41:31.477000,0.0
47,2,0.11921713352203367,1762720891477,2025-11-09T14:41:31.477000,0.0
48,1,0.0978018045425415,1762720891597,2025-11-09T14:41:31.597000,0.0
